INGREDIENT COMMON NAME,INGREDIENT INCI NAME,Country of Origin,In Stock,Quantity in Stock (in grams),Supplier Name,CAS NO.,NICNAS Check Completed,Flash Point,Product Type,Skin Type,TYPE OF INGREDIENT,ESSENTIAL OIL NOTE,Solubility,Ingredient Benefits,SKIN PROBLEM,CONTRAINDICATIONS,Contraindications detailed,VISCOSITY,ABSORPTION RATE,COMEDOGENIC RATING,Composition,Recommended Concentration,Allergens,Relevant References,Other Important Information,2
Pomegranate Oil,,,No,,,,,,,,"Carrier Oil,anhydrous base",,,"Anti-inflammatory,Soothing,Antioxidant,Calming","inflamed and/or irritated,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)",,,Light,Medium,1,,,,"Skin density support - Aslam, M.N., Lansky, E.P., & Varani, J. (2006). Pomegranate as a cosmeceutical source: pomegranate fractions promote proliferation and procollagen synthesis and inhibit matrix metalloproteinase-1 production in human skin cells. Journal of Ethnopharmacology 103 3, 311-8.
Cell turnover support - Tamsyn SA Thring, Pauline Hili, Declan P Naughton. 2009. Anti-collagenase, anti-elastase and anti-oxidant activities of extracts from 21 plants. BMC Complementary and Alternative MedicineThe official journal of the International Society for Complementary Medicine Research (ISCMR)20099:27
Support during sun exposure - Hora, J.J.; Maydew, E.R.; Lansky, E.P.; Dwivedi, C. Chemopreventive effects of pomegranate seed oil on skin tumor development in CD1 mice. Med. Food2003, 6, 157–161.",,
Prickly Pear Seed,,,No,,,,,,,Sensitive & Eczema Prone Skin,"Carrier Oil,anhydrous base",,,"Anti-inflammatory,Soothing,Calming",inflamed and/or irritated,,,Light,Fast,2,,,,,,
Pumpkin Seed Oil - Certified Organic,Cucurbita pepo (Pepitas) Seed Oil,,Yes,,AWO,,No,,"Anhydrous,Aqueous","dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Hydrating,Anti-inflammatory,Soothing,Antioxidant","inflamed and/or irritated,Wrinkles,loss of firmness and tone,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)",,None known,Medium,Medium,2,,,,,,
Raspberry Seed Oil,Rubus idaeus (Raspberry) seed oil,,No,,,,,,,Mature & Aging Skin,"Carrier Oil,anhydrous base",,,Antioxidant,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance,Fine dehydration lines",,NOT DONE YET,Medium,Medium,1,,,,,"Shelf life : 6 months - add vitamin E to prolong shelf life

To do:
Add sensitive skin
Occlusive? 
Ben - improves elasticity",
Rose Floral Water,Rosa x damascena (Rose) floral water,,Yes,,AWO,,Yes,,Aqueous,,Aqueous base,,Water Soluble,,,"Pregnant,breastfeeding or nursing",NOT DONE YET,,,,,,,,"Purified Water, Phenoxyethanol, Ethylhexylglycerin, Rose Bulgarian Absolute",
Rose Geranium Essential Oil (Cosmetic Blend),Pelargonium graveolens (Rose Geranium) cosmetic blend,,Yes,,AWO,,No,,"Anhydrous,Emulsion","Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin,Normal Skin",Essential Oil,Top,Oil Soluble,"Reduce pore size,Anti-inflammatory,Astringent (improves elasticity),Balance sebum production,Antibacterial","inflamed and/or irritated,Oily (overproduction of sebum),Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)","Pregnant,breastfeeding or nursing",Avoid during pregnancy,,,,,,,,https://www.newdirectionsaromatics.com/blog/products/all-about-rose-geranium-oil.html,
Rosehip Seed Oil,Rosa rubiginosa (Rosehip) oil (certified organic),Chile / Turkey,Yes,,AWO,,,,,"Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Reduce pore size,Emollient,Hydrating,Antioxidant,Smoothing,Anti-aging","Fine dehydration lines,Fine lines and wrinkles,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),excessive oil in some areas (possibly int he T-zone),Eczema",,Can be used for people with hypertension,Light,Fast,1,,,,"Collagen promoting - Dayan N. Skin aging handbook: An Integrated Approach to Biochemistry and Product Development.New York: William Andrew Inc; 2008.
Supports inflammation regulation - Svobodová A, Psotová J, Walterová D. Natural phenolics in the prevention of UV- induced skin damage. Biomed Papers. 2003;147:137–45.
Eczema - Svobodová A, Psotová J, Walterová D. Natural phenolics in the prevention of UV- induced skin damage. Biomed Papers. 2003;147:137–45.","FA - alpha linoleic 
Vitamin F (O 3 & 6) 
Light and dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance 
Fast absorption 
Shelf life : 6 months - 2-3 years with added Vitamin E
Vitamin A tretinoin
Ben - repair damaged skin, alleviate acne, reduce wrinkles, regenerating, repair, healing, softening
Eczema, psoriasis",
Rosemary Essential Oil,Rosmarinus officinalis (Rosemary) essential oil,Spain,Yes,,,8000-25-7,,40,"Anhydrous,Emulsion",,Essential Oil,Middle,Oil Soluble,,"Age spots,Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)","epilepsy/seizure disorder,Pregnant,breastfeeding or nursing,hypertension","Do not use during pregnancy.  

Unsuitable for people with hypertension and/or epilepsy/seizure disorder.",,,,,,,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.

https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6ROSMARYAU",,
Safflower,,,No,,,,,,,,"Carrier Oil,anhydrous base",,,"Moisturising,Emollient,Hydrating,Soothing,Calming","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Fine dehydration lines",,,Light,,0,,,,,,
Salicylic Acid (derived from Willowbark Tree is most natural form),,,No,,,,,,,,Aqueous high performance,,,"Anti-inflammatory,Exfoliating","Clogged pores/cell accumulation,Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)",,,,,,,,,,,
Sandalwood Essential Oil,Santalum spicatum (Sandalwood) essential oil,,Yes,,AWO,,,142,Anhydrous,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination",Essential Oil,Base,Oil Soluble,"Emollient,Hydrating,Anti-inflammatory,Soothing,Antiseptic,Nourishing,Protecting,Calming,Smoothing,Softening",inflamed and/or irritated,,No known contraindications,,,,,,,,,
Sea Buckthorn CO2 Oil,Hippophae rhamnoides (Sea Buckthorn) CO2 Oil,,Yes,,,,,,,"Mature & Aging Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Antioxidant,Smoothing","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Flaking,Scaling,Peeling,rough on some portions of the skin,Itching and/or redness,loss of firmness and tone,Scarring,Tightness,dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance and/or flaky on some portions of skin",,NOT DONE YET,Heavy,Medium,1,,,,"Tropical Journal of Pharmaceutical Research December 2012; 11 (6): 955-962
Anti-Aging Effects of Hippophae rhamnoides Emulsion on Human Skin
Barkat Ali Khan1*, Naveed Akhtar1 and Valdir A Braga2
Conclusion: The topical antioxidant emulsion of H. rhamnoides significantly improved skin biomechanical parameters after 7 weeks of treatment. The data obtained suggest that H. rhamnoides could be an alternative pharmacological tool for treating age-related loss of skin elasticity.

Skin softening - Koskovac, M., Cupara, S., Kipic, M., Barjaktarevic, A., Milovanovic, O., Kojicic, K., & Markovic, M. (2017). Sea Buckthorn Oil—A Valuable Source for Cosmeceuticals. Cosmetics, 4(4), 40. 
Support during sun exposure - Korać, Radavar, and Kapilm Khambholja. 2011. “Potential of Herbs in Skin Protection from Ultraviolet Radiation.” Pharmacognosy Reviews 5 (10): 164. doi:10.4103/0973-7847.91114. 
Tissue regeneration support - Zhao, Y., 1994. Clinical effects of Hippophae seed oil in the treatment of 32 burn cases. Hippophae, 7: 36-37.",,
Sea Lettuce,,,No,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin",,,,"Moisturising,Anti-inflammatory,Soothing",Itching and/or redness,,,,,,,,,,,
Sesame Oil,,,No,,,,,,,,"Carrier Oil,anhydrous base",,,"Moisturising,Emollient,Hydrating,Smoothing","Flaking,Scaling,Peeling",,,Medium,Medium,3,,,,,,
Shea Butter,Butyrospermum Parkii,,Yes,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin",Butter,,Oil Soluble,"Moisturising,Emollient,Occlusive,Hydrating,Anti-inflammatory,Soothing,Calming,Smoothing","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Fine dehydration lines,Flaking,Scaling,Peeling,rough on some portions of the skin on some portions of the skin,Itching and/or redness",,NOT DONE YET,,,,,,,,,
Sodium Lactate,,,No,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin",,,,"Moisturising,Humectant,Hydrating,Soothing,Calming,Smoothing","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Fine dehydration lines,Cracking",,,,,,,,,,,
Soybean,,,No,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin","Carrier Oil,anhydrous base",,,"Moisturising,Emollient,Hydrating,Soothing,Calming","dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance,Fine dehydration lines",,,,Medium,,,,,,,
Spearmint Essential Oil,Metha spicata (Spearmint) oil 100% pure essential oil,India,Yes,100,SEOC,8008-79-5,No,50,"Anhydrous,Emulsion",,Essential Oil,Top,Oil Soluble,,,,Low risk skin sensitisation,,,,,,,,,
Spikenard Egypt,Nardostachys jatamansi (Spikenard) essential oil Egypt,Egypt,Yes,,,,Yes,100,"Anhydrous,Emulsion","Sensitive & Eczema Prone Skin,Mature & Aging Skin",Essential Oil,Base,Oil Soluble,"Anti-inflammatory,Promote brightening,Antibacterial,Anti-aging",Dull complexion,"Pregnant,breastfeeding or nursing",Do not use when pregnant,,,,,,,,,
Sunflower Seed Oil,Helianthus annuus (Sunflower) virgin oil (certified organic),,Yes,100,ND,,,,Anhydrous,,"Carrier Oil,anhydrous base",,Oil Soluble,,"Eczema,inflamed and/or irritated,fine lines and wrinkles",,,Light,,0,,,,,,
Sweet Almond Oil,Prunus amygdalus dulcis (Almond) Oil,Germany,Yes,,AWO,,,,Anhydrous,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient","dry, dry/rough skin in feeling and/or appearance,rough on some portions of the skin,inflamed and/or irritated,Flaking,Scaling,Peeling,Itching and/or redness,Scarring,Tightness,dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance and/or flaky on some portions of skin",Nut allergies,Nut Oil,Medium,Medium,2,,,,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.

Stretch mark support - Jamileh Malakouti, Azizeh Farshbaf Khalili and Atefeh Kamrani, Sesame, Sweet Almond & Sesame and Sweet Almond Oil for the Prevention of Striae in Primiparous Fe-males: A Triple-Blind Randomized Controlled Trial, Iranian Red Crescent Medical Journal, 19, 6, (2016).
Photo-aging support - Zeeshan Ahmad, The uses and properties of almond oil, Complementary Therapies in Clinical Practice, 16, 1, (10), (2010).
Skin softening - Ahmad, Z. “The uses and properties of almond oil.” Complementary therapies in clinical practice 16.1 (2010): 10.",,
Sweet Orange Essential Oil,Citrus sinensis (Sweet Orange) 100% pure essential oil,,Yes,,AWO,8028-48-6,No,43,"Anhydrous,Emulsion",,Essential Oil,Top,Oil Soluble,,,"Phototoxic,pregnant,breastfeeding or nursing","Phototoxic,pregnancy,breastfeeding or nursing",,,,,,,,,
Tea Tree Essential Oil,,,Yes,,,68647-73-4,,59,"Anhydrous,Emulsion",,Essential Oil,Top,Oil Soluble,"Anti-inflammatory,Antibacterial,Antiseptic","inflamed and/or irritated,Itching and/or redness,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil), peeling and dehydrated (due to use of products to control oil)","Pregnant,breastfeeding or nursing,irritant,hypertension","Tea Tree Oil must never be used near the eyes, inner nose, or on any other particularly sensitive areas of skin. Once applied topically, sun exposure must be avoided, as the oil can sensitize the skin to UV rays. If Tea Tree Essential Oil is combined with Lavender Essential Oil, the topical application of this blend might potentially be unsafe for pre-pubescent boys, due to the potential of these oils to disrupt hormones in the male body. It is unknown whether it is safe for pre-pubescent girls to use these oils.",,,,,,,,,
Thyme,Thymus vulgaris (Thyme) essential oil,,Yes,15,EA,8007-46-3,,55,,,Essential Oil,,,,,"Pregnant,breastfeeding or nursing,irritant,hypertension",,,,,,,,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.",,
Turmeric Root,,,No,,,,,,,Mature & Aging Skin,,,,"Anti-inflammatory,Antioxidant,Promote brightening",Dull complexion,,,,,,,,,,,
Vitamin B3 Niacinamide,,,No,,,,,,,Mature & Aging Skin,Aqueous high performance,,,Age spot appearance reduction,Age spots,,,,,,,,,,,
Vitamin C Liquid,,,No,,,,,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Mature & Aging Skin",Aqueous high performance,,,"Antioxidant,Promotes collagen production,Age spot appearance reduction,Skin lightening",Age spots,,NOT DONE YET,,,,,"Up to 1% in an oil based products such as creams, face and body preparations, hand & nail creams and treatment masks.",,https://shop.newdirections.com.au/epages/newdirections.sf/en_AU/?ObjectPath=/Shops/newdirections/Products/RM100VITACL,Provides some UV protection.  One important action of Vitamin C is that it adds extra protection to the skin on a cellular level by increasing the cell survival rate in the epidermis when exposed to UV rays.,
Vitamin E Natural (Mixed tocopherols 70%),Mixed tocopherols 70% (Vitamin E natural),,Yes,,AWO,7695-91-2,No,,"Anhydrous,Emulsion",Mature & Aging Skin,"Antioxidant,anhydrous high performance",,Oil Soluble,"Moisturising,Anti-inflammatory,Soothing,Antioxidant,Protecting,Softening",,,None known,,,,,0.5%-2%,,,"Components: Mixed Tocopherols (d-alpha-, d-beta-, d-gamma-, d-delta-tocopherol), Phytosterol, Soybean Oil",
Walnut Oil,,,No,,,,,,,,"Carrier Oil,anhydrous base",,Oil Soluble,,,Nut allergies,Nut Oil,,Medium,2,,,,,,
White Willow Bark,,,No,,,,,,,Sensitive & Eczema Prone Skin,"Extract,aqueous high performance",,,"Anti-inflammatory,Soothing,Calming",inflamed and/or irritated,,,,,,,,,,,
Witch Hazel Infused Water,Hamamelis virginiana,,Yes,,,,Yes,,,Sensitive & Eczema Prone Skin,Aqueous high performance,,Water Soluble,"Anti-inflammatory,Soothing,Calming",inflamed and/or irritated,,NOT DONE YET,,,,,,,,,
Ylang Ylang,Cananga odorata (Ylang Ylang) flower essential oil,Madagascar,Yes,,,8006-81-3,Yes,90,"Anhydrous,Emulsion","dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Oily & Acne Prone Skin",Essential Oil,Base,Oil Soluble,"Anti-inflammatory,Antioxidant,Balance sebum production,Antibacterial,Antiseptic","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,inflamed and/or irritated,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil), peeling and dehydrated (due to use of products to control oil)","Pregnant,breastfeeding or nursing","Do not use when pregnant.  Very strong aroma.  Use in moderation.  Those with the following health conditions are recommended to be advised: diabetes, cancer, hypotension and other heart-related ailments, peptic ulcers, liver damage, bleeding disorders, skin disorders, or hormone-related ailments. Individuals that are taking prescription drugs, undergoing major surgery, or who are at a greater risk of experiencing strokes, heart attacks, or atherosclerosis are also advised to seek medical consultation prior to use.",,,,,,,,"Contracindications : New Directions Aromatics :

As per NAHA guidelines, New Directions Aromatics (NDA) does not recommend the ingestion of essential oils. It is imperative to consult a medical practitioner before using this oil for therapeutic purposes. Pregnant and nursing women are especially advised not to use Ylang Ylang Essential Oil without the medical advice of a physician, as it may have an effect on certain hormone secretions and it is unclear whether these effects are transferable to babies at these stages of development. The oil should always be stored in an area that is inaccessible to children, especially those under the age of 7.

Those with the following health conditions are recommended to be advised: diabetes, cancer, low blood pressure and other heart-related ailments, peptic ulcers, liver damage, bleeding disorders, skin disorders, or hormone-related ailments. Individuals that are taking prescription drugs, undergoing major surgery, or who are at a greater risk of experiencing strokes, heart attacks, or atherosclerosis are also advised to seek medical consultation prior to use.

Prior to using Ylang Ylang Oil, a skin test is recommended. This can be done by diluting 1 drop of the Essential Oil in 4 drops of a Carrier Oil and applying a dime-size amount of this blend to a small area of skin that is not sensitive. Ylang Ylang Oil must never be used near the eyes, inner nose, and ears, or on any other particularly sensitive areas of skin. Potential side effects of Ylang Ylang Oil include sensitization, rashes, headache, and nausea.

Those seeking medical care to manage moods, behaviors, or disorders should treat this essential oil as a complementary remedy rather than a replacement for any medicinal treatments or prescriptions. In the event of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action. To prevent side effects, consult with a medical professional prior to use.",
